timestamp,file_id,project_name,company_name,location_country,location_region,report_date,resources_grade_primary_indicated,resources_grade_primary_inferred,resources_grade_primary_measured,resources_tonnage_mt_indicated,resources_tonnage_mt_inferred,resources_tonnage_mt_measured,resources_grade_primary_probable,resources_grade_primary_proven,resources_tonnage_mt_probable,resources_tonnage_mt_proven,capex_initial,opex_life_of_mine,npv_discounted,irr_after_tax
2026-01-09 14:09:20,878C2FBC,Segovia Operations,Aris Mining Corporation,Colombia,Antioquia,2023-12-06,14.38,12.11,14.31,3.8,4.7,4.1,11.16,12.25,2.017,1.515,,"US$143/t for owner mining, US$823/oz for contractor mining, US$1,291/oz for artisanal mining",,
2026-01-09 14:18:43,C03783C6,Guadalupe Project,Solvista Gold Corporation,Colombia,Antioquia,2011-02-28,,,,,,,,,,,,,,
2026-01-09 14:50:55,D11891E2,Fredonia-Venecia Technical Report,Colombia Crest Gold Corp,Colombia,Antioquia,2013-03-30,,0.56,0.52,,359.6,275.4,,,,,,,,
2026-01-09 15:02:57,2B2256D4,Nechí Alluvial Property,Mineros S.A.,Colombia,Antioquia,2025-03-31,56.0,62.0,55.0,448.0,223.0,79.0,82.0,71.0,438.0,86.0,US$279.1M,US$2.87/m³ processed,,
2026-01-09 15:26:40,2B2256D4,Nechí Alluvial Property,Mineros S.A.,Colombia,Antioquia Department,2025-03-31,56.0,62.0,55.0,448.0,223.0,79.0,82.0,71.0,438.0,86.0,US$279.1M,US$2.87/m³ processed,,
2026-01-09 16:03:43,278C5D9A,Titiribi Project,Sunward Resources Ltd.,Colombia,Antioquia,2013-09-09,0.48,0.57,0.49,132.4,153.0,51.6,,,,,,,,
2026-01-09 16:34:33,278C5D9A,Titiribi Project,Sunward Resources Ltd.,Colombia,Antioquia,2013-09-09,0.48,0.57,0.49,132.4,153.0,51.6,,,,,,,,
