timestamp,file_id,project_name,company_name,location_country,location_region,report_date
2026-01-09 14:09:20,878C2FBC,Segovia Operations,Aris Mining Corporation,Colombia,Antioquia,2023-12-06
2026-01-09 14:18:43,C03783C6,Guadalupe Project,Solvista Gold Corporation,Colombia,Antioquia,2011-02-28
2026-01-09 14:50:55,D11891E2,Fredonia-Venecia Technical Report,Colombia Crest Gold Corp,Colombia,Antioquia,2013-03-30
2026-01-09 15:02:57,2B2256D4,Nechí Alluvial Property,Mineros S.A.,Colombia,Antioquia,2025-03-31
2026-01-09 15:26:40,2B2256D4,Nechí Alluvial Property,Mineros S.A.,Colombia,Antioquia Department,2025-03-31
2026-01-09 16:03:43,278C5D9A,Titiribi Project,Sunward Resources Ltd.,Colombia,Antioquia,2013-09-09
2026-01-09 16:34:33,278C5D9A,Titiribi Project,Sunward Resources Ltd.,Colombia,Antioquia,2013-09-09
